dimension,n_neighbors,num_nodes,num_edges,num_components,output_file
2,5,46,66,8,mapper_outputs/mapper_d2_n5.html
2,10,36,34,9,mapper_outputs/mapper_d2_n10.html
2,15,35,44,9,mapper_outputs/mapper_d2_n15.html
2,30,43,58,9,mapper_outputs/mapper_d2_n30.html
3,5,86,190,9,mapper_outputs/mapper_d3_n5.html
3,10,72,171,9,mapper_outputs/mapper_d3_n10.html
3,15,74,194,9,mapper_outputs/mapper_d3_n15.html
3,30,71,138,9,mapper_outputs/mapper_d3_n30.html
5,5,210,998,9,mapper_outputs/mapper_d5_n5.html
5,10,153,737,9,mapper_outputs/mapper_d5_n10.html
5,15,185,1025,9,mapper_outputs/mapper_d5_n15.html
5,30,225,1525,9,mapper_outputs/mapper_d5_n30.html
7,5,359,3200,9,mapper_outputs/mapper_d7_n5.html
7,10,345,3555,9,mapper_outputs/mapper_d7_n10.html
7,15,320,3624,9,mapper_outputs/mapper_d7_n15.html
7,30,310,2131,9,mapper_outputs/mapper_d7_n30.html
